workstation,analysis_id,analysis_date,synchronization_date,sample_code,classified_seeds,variety,percent,result_id
Donald Bunker,645,2025-02-26T11:30:12Z,2025-02-26T00:31:14Z,GTAMix2,346,Planet,83,1
Donald Bunker,645,2025-02-26T11:30:12Z,2025-02-26T00:31:14Z,GTAMix2,346,Bass,17,2
Donald Bunker,647,2025-02-26T12:06:30Z,2025-02-26T01:07:18Z,GTAMix3,304,Spartacus CL,76,1
Donald Bunker,647,2025-02-26T12:06:30Z,2025-02-26T01:07:18Z,GTAMix3,304,Bass,24,2
Donald Bunker,646,2025-02-26T11:58:23Z,2025-02-26T00:59:27Z,GTAMix4,314,La Trobe,83,1
Donald Bunker,646,2025-02-26T11:58:23Z,2025-02-26T00:59:27Z,GTAMix4,314,Maximus CL,17,2
Donald Bunker,648,2025-02-26T12:09:59Z,2025-02-26T01:10:58Z,GTAMix5,309,La Trobe,76,1
Donald Bunker,648,2025-02-26T12:09:59Z,2025-02-26T01:10:58Z,GTAMix5,309,Planet,24,2
Donald Bunker,649,2025-02-26T12:23:06Z,2025-02-26T01:24:02Z,GTAMix6,286,Maximus CL,72,1
Donald Bunker,649,2025-02-26T12:23:06Z,2025-02-26T01:24:02Z,GTAMix6,286,Planet,28,2
Donald Bunker,650,2025-02-26T12:32:05Z,2025-02-26T01:32:55Z,GTAMix7,310,Spartacus CL,68,1
Donald Bunker,650,2025-02-26T12:32:05Z,2025-02-26T01:32:55Z,GTAMix7,310,Planet,31,2
Donald Bunker,652,2025-02-26T13:39:25Z,2025-02-26T02:40:19Z,GTAMix8,319,Planet,74,1
Donald Bunker,652,2025-02-26T13:39:25Z,2025-02-26T02:40:19Z,GTAMix8,319,Maximus CL,26,2
Donald Bunker,651,2025-02-26T13:33:46Z,2025-02-26T02:35:05Z,GTAMix9,319,Bass,60,1
Donald Bunker,651,2025-02-26T13:33:46Z,2025-02-26T02:35:05Z,GTAMix9,319,La Trobe,39,2
Donald Bunker,656,2025-02-26T14:16:56Z,2025-02-26T03:17:55Z,GTAPure1,347,Bass,99,1
Donald Bunker,656,2025-02-26T14:16:56Z,2025-02-26T03:17:55Z,GTAPure1,347,La Trobe,1,2
Donald Bunker,664,2025-02-26T15:28:47Z,2025-02-26T04:29:59Z,GTAPure10,272,Maximus CL,100,1
Donald Bunker,667,2025-02-26T15:52:31Z,2025-02-26T04:53:36Z,GTAPure11,275,Commodus CL,99,1
Donald Bunker,666,2025-02-26T15:45:43Z,2025-02-26T04:46:47Z,GTAPure12,257,Spartacus CL,100,1
Donald Bunker,657,2025-02-26T14:25:55Z,2025-02-26T03:26:49Z,GTAPure2,340,La Trobe,100,1
Donald Bunker,659,2025-02-26T14:42:18Z,2025-02-26T03:43:32Z,GTAPure3,250,Maximus CL,99,1
Donald Bunker,659,2025-02-26T14:42:18Z,2025-02-26T03:43:32Z,GTAPure3,250,La Trobe,1,2
Donald Bunker,658,2025-02-26T14:36:58Z,2025-02-26T03:37:48Z,GTAPure4,263,Commodus CL,100,1
Donald Bunker,660,2025-02-26T14:52:10Z,2025-02-26T03:53:22Z,GTAPure5,321,Spartacus CL,100,1
Donald Bunker,663,2025-02-26T15:23:16Z,2025-02-26T04:24:14Z,GTAPure6,347,Westminster,65,1
Donald Bunker,663,2025-02-26T15:23:16Z,2025-02-26T04:24:14Z,GTAPure6,347,Planet,34,2
Donald Bunker,661,2025-02-26T15:06:48Z,2025-02-26T04:08:01Z,GTAPure7,294,Planet,100,1
Donald Bunker,662,2025-02-26T15:12:36Z,2025-02-26T04:13:47Z,GTAPure8,310,Bass,100,1
Donald Bunker,665,2025-02-26T15:43:09Z,2025-02-26T04:44:09Z,GTAPure9,316,La Trobe,100,1
Dunolly,731,NA,NA,GTAMix1,334,Bass,87,1
Dunolly,731,NA,NA,GTAMix1,334,Maximus CL,13,2
Dunolly,740,2025-02-26T13:47:33Z,2025-02-26T02:48:44Z,GTAMix10,276,Maximus CL,61,1
Dunolly,740,2025-02-26T13:47:33Z,2025-02-26T02:48:44Z,GTAMix10,276,Bass,39,2
Dunolly,741,2025-02-26T13:56:47Z,2025-02-26T02:57:40Z,GTAMix11,321,Maximus CL,54,1
